City_ID,City,Country,Lat,Lng,Maximum Hemperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather description
0,Euclides Da Cunha,BR,-10.51,-39.02,61.84,99,56,6.08,light rain
1,Buarcos,PT,40.17,-8.88,62.01,93,100,8.05,overcast clouds
2,Pueblo Nuevo,MX,23.38,-105.38,59.36,72,92,6.17,overcast clouds
3,Hohhot,CN,40.81,111.65,82.4,42,40,8.95,scattered clouds
4,Yebaishou,CN,41.4,119.64,93.65,23,0,16.42,clear sky
5,Bluff,NZ,-46.6,168.33,49.84,83,100,2.24,overcast clouds
6,Bambous Virieux,MU,-20.34,57.76,72.0,64,75,17.22,broken clouds
7,Accra,GH,5.56,-0.2,75.2,83,75,9.17,broken clouds
8,Victor Harbor,AU,-35.57,138.62,55.0,83,36,1.01,scattered clouds
9,Salinopolis,BR,-0.61,-47.36,78.62,83,5,10.25,light rain
10,Tasiilaq,GL,65.61,-37.64,44.6,81,98,2.24,light rain
11,Punta Arenas,CL,-53.15,-70.92,39.2,80,100,18.34,light rain
12,Barrow,US,71.29,-156.79,33.8,86,90,11.41,mist
13,Port Alfred,ZA,-33.59,26.89,70.74,24,0,16.6,clear sky
14,Puerto Ayora,EC,-0.74,-90.35,66.99,94,32,1.99,scattered clouds
15,Yura,PE,-16.25,-71.68,54.09,39,2,1.1,clear sky
16,Haines Junction,CA,60.75,-137.51,48.97,79,6,5.73,clear sky
17,Hermanus,ZA,-34.42,19.23,57.27,71,2,11.45,clear sky
18,Bethel,US,41.37,-73.41,78.8,83,1,8.05,clear sky
19,Minab,IR,27.15,57.08,96.8,60,20,2.24,haze
20,Cape Town,ZA,-33.93,18.42,59.0,93,75,10.29,broken clouds
21,Sitka,US,57.05,-135.33,57.2,87,90,1.41,overcast clouds
22,Butaritari,KI,3.07,172.79,82.71,72,83,17.56,broken clouds
23,Esperance,AU,-33.87,121.9,57.2,93,75,18.34,broken clouds
24,Korla,CN,41.76,86.15,91.87,15,49,3.96,scattered clouds
25,Cotonou,BJ,6.37,2.42,77.0,83,40,12.75,scattered clouds
26,Albany,US,42.6,-73.97,77.0,89,4,3.58,clear sky
27,Machiques,VE,10.06,-72.55,77.16,81,98,2.46,light rain
28,Longyearbyen,SJ,78.22,15.64,44.6,100,90,2.24,fog
29,Qaanaaq,GL,77.48,-69.36,35.17,87,100,6.93,overcast clouds
30,Caravelas,BR,-17.71,-39.25,68.23,85,8,7.67,light rain
31,Rikitea,PF,-23.12,-134.97,72.95,82,100,17.69,overcast clouds
32,Clyde River,CA,70.47,-68.59,46.4,93,90,5.82,overcast clouds
33,Lagoa,PT,39.05,-27.98,71.15,77,1,5.17,clear sky
34,Tukrah,LY,32.53,20.58,80.65,72,0,3.38,clear sky
35,Atuona,PF,-9.8,-139.03,78.73,74,8,17.02,clear sky
36,Lazaro Cardenas,MX,17.96,-102.2,82.51,83,99,3.36,overcast clouds
37,Khatanga,RU,71.97,102.5,68.31,62,100,5.99,overcast clouds
38,Camacha,PT,33.08,-16.33,68.0,72,40,16.11,scattered clouds
39,Ushuaia,AR,-54.8,-68.3,41.0,56,75,20.8,broken clouds
40,Mataura,NZ,-46.19,168.86,48.72,92,99,0.94,overcast clouds
41,Chaohu,CN,31.6,117.87,96.8,53,54,4.47,broken clouds
42,Te Anau,NZ,-45.42,167.72,47.68,86,100,2.35,overcast clouds
43,Bontang,ID,0.13,117.5,82.78,79,60,5.21,light rain
44,Torbay,CA,47.67,-52.73,59.0,100,20,11.41,few clouds
45,Avera,US,33.19,-82.53,78.8,94,1,3.36,clear sky
46,Thompson,CA,55.74,-97.86,55.4,87,20,2.26,few clouds
47,Ostrovnoy,RU,68.05,39.51,51.94,79,100,16.6,light rain
